,high_mean
2023-06-24-00:00,8
2023-06-24-00:15,8
2023-06-24-00:30,8
2023-06-24-00:45,8
2023-06-24-01:00,8
2023-06-24-01:15,8
2023-06-24-01:30,8
2023-06-24-01:45,8
2023-06-24-02:00,8
2023-06-24-02:15,8
2023-06-24-02:30,8
2023-06-24-02:45,8
2023-06-24-03:00,9
2023-06-24-03:15,9
2023-06-24-03:30,9
2023-06-24-03:45,9
2023-06-24-04:00,9
2023-06-24-04:15,9
2023-06-24-04:30,10
2023-06-24-04:45,9
2023-06-24-05:00,9
2023-06-24-05:15,9
2023-06-24-05:30,9
2023-06-24-05:45,9
2023-06-24-06:00,11
2023-06-24-06:15,11
2023-06-24-06:30,10
2023-06-24-06:45,10
2023-06-24-07:00,12
2023-06-24-07:15,15
2023-06-24-07:30,19
2023-06-24-07:45,21
2023-06-24-08:00,27
2023-06-24-08:15,27
2023-06-24-08:30,36
2023-06-24-08:45,43
2023-06-24-09:00,59
2023-06-24-09:15,68
2023-06-24-09:30,68
2023-06-24-09:45,66
2023-06-24-10:00,76
2023-06-24-10:15,76
2023-06-24-10:30,96
2023-06-24-10:45,97
2023-06-24-11:00,87
2023-06-24-11:15,95
2023-06-24-11:30,88
2023-06-24-11:45,88
2023-06-24-12:00,87
2023-06-24-12:15,87
2023-06-24-12:30,86
2023-06-24-12:45,87
2023-06-24-13:00,86
2023-06-24-13:15,100
2023-06-24-13:30,99
2023-06-24-13:45,86
2023-06-24-14:00,82
2023-06-24-14:15,83
2023-06-24-14:30,85
2023-06-24-14:45,84
2023-06-24-15:00,80
2023-06-24-15:15,78
2023-06-24-15:30,77
2023-06-24-15:45,74
2023-06-24-16:00,74
2023-06-24-16:15,74
2023-06-24-16:30,74
2023-06-24-16:45,74
2023-06-24-17:00,72
2023-06-24-17:15,72
2023-06-24-17:30,74
2023-06-24-17:45,70
2023-06-24-18:00,69
2023-06-24-18:15,63
2023-06-24-18:30,55
2023-06-24-18:45,51
2023-06-24-19:00,45
2023-06-24-19:15,42
2023-06-24-19:30,43
2023-06-24-19:45,36
2023-06-24-20:00,22
2023-06-24-20:15,21
2023-06-24-20:30,20
2023-06-24-20:45,15
2023-06-24-21:00,15
2023-06-24-21:15,16
2023-06-24-21:30,14
2023-06-24-21:45,13
2023-06-24-22:00,13
2023-06-24-22:15,12
2023-06-24-22:30,12
2023-06-24-22:45,13
2023-06-24-23:00,12
2023-06-24-23:15,12
2023-06-24-23:30,11
2023-06-24-23:45,12
2023-06-25-00:00,9
2023-06-25-00:15,8
2023-06-25-00:30,8
2023-06-25-00:45,8
2023-06-25-01:00,8
2023-06-25-01:15,8
2023-06-25-01:30,8
2023-06-25-01:45,8
2023-06-25-02:00,8
2023-06-25-02:15,8
2023-06-25-02:30,8
2023-06-25-02:45,8
2023-06-25-03:00,9
2023-06-25-03:15,9
2023-06-25-03:30,9
2023-06-25-03:45,9
2023-06-25-04:00,10
2023-06-25-04:15,10
2023-06-25-04:30,10
2023-06-25-04:45,9
2023-06-25-05:00,9
2023-06-25-05:15,9
2023-06-25-05:30,9
2023-06-25-05:45,9
2023-06-25-06:00,10
2023-06-25-06:15,11
2023-06-25-06:30,11
2023-06-25-06:45,12
2023-06-25-07:00,15
2023-06-25-07:15,16
2023-06-25-07:30,20
2023-06-25-07:45,22
2023-06-25-08:00,27
2023-06-25-08:15,31
2023-06-25-08:30,29
2023-06-25-08:45,40
2023-06-25-09:00,59
2023-06-25-09:15,68
2023-06-25-09:30,65
2023-06-25-09:45,65
2023-06-25-10:00,70
2023-06-25-10:15,77
2023-06-25-10:30,91
2023-06-25-10:45,89
2023-06-25-11:00,79
2023-06-25-11:15,86
2023-06-25-11:30,85
2023-06-25-11:45,85
2023-06-25-12:00,84
2023-06-25-12:15,84
2023-06-25-12:30,83
2023-06-25-12:45,84
2023-06-25-13:00,83
2023-06-25-13:15,97
2023-06-25-13:30,96
2023-06-25-13:45,82
2023-06-25-14:00,81
2023-06-25-14:15,83
2023-06-25-14:30,82
2023-06-25-14:45,86
2023-06-25-15:00,82
2023-06-25-15:15,81
2023-06-25-15:30,73
2023-06-25-15:45,69
2023-06-25-16:00,75
2023-06-25-16:15,75
2023-06-25-16:30,76
2023-06-25-16:45,76
2023-06-25-17:00,71
2023-06-25-17:15,72
2023-06-25-17:30,74
2023-06-25-17:45,70
2023-06-25-18:00,69
2023-06-25-18:15,58
2023-06-25-18:30,56
2023-06-25-18:45,50
2023-06-25-19:00,39
2023-06-25-19:15,39
2023-06-25-19:30,34
2023-06-25-19:45,30
2023-06-25-20:00,17
2023-06-25-20:15,14
2023-06-25-20:30,14
2023-06-25-20:45,14
2023-06-25-21:00,12
2023-06-25-21:15,14
2023-06-25-21:30,14
2023-06-25-21:45,13
2023-06-25-22:00,12
2023-06-25-22:15,9
2023-06-25-22:30,10
2023-06-25-22:45,10
2023-06-25-23:00,11
2023-06-25-23:15,11
2023-06-25-23:30,11
2023-06-25-23:45,11
2023-06-26-00:00,6
2023-06-26-00:15,6
2023-06-26-00:30,6
2023-06-26-00:45,6
2023-06-26-01:00,6
2023-06-26-01:15,6
2023-06-26-01:30,6
2023-06-26-01:45,7
2023-06-26-02:00,6
2023-06-26-02:15,6
2023-06-26-02:30,6
2023-06-26-02:45,6
2023-06-26-03:00,7
2023-06-26-03:15,7
2023-06-26-03:30,7
2023-06-26-03:45,7
2023-06-26-04:00,10
2023-06-26-04:15,8
2023-06-26-04:30,8
2023-06-26-04:45,7
2023-06-26-05:00,9
2023-06-26-05:15,8
2023-06-26-05:30,8
2023-06-26-05:45,8
2023-06-26-06:00,9
2023-06-26-06:15,9
2023-06-26-06:30,10
2023-06-26-06:45,10
2023-06-26-07:00,12
2023-06-26-07:15,14
2023-06-26-07:30,15
2023-06-26-07:45,17
2023-06-26-08:00,19
2023-06-26-08:15,21
2023-06-26-08:30,28
2023-06-26-08:45,30
2023-06-26-09:00,41
2023-06-26-09:15,47
2023-06-26-09:30,49
2023-06-26-09:45,49
2023-06-26-10:00,58
2023-06-26-10:15,62
2023-06-26-10:30,69
2023-06-26-10:45,70
2023-06-26-11:00,70
2023-06-26-11:15,76
2023-06-26-11:30,77
2023-06-26-11:45,79
2023-06-26-12:00,80
2023-06-26-12:15,80
2023-06-26-12:30,78
2023-06-26-12:45,87
2023-06-26-13:00,86
2023-06-26-13:15,85
2023-06-26-13:30,83
2023-06-26-13:45,84
2023-06-26-14:00,83
2023-06-26-14:15,83
2023-06-26-14:30,83
2023-06-26-14:45,82
2023-06-26-15:00,80
2023-06-26-15:15,79
2023-06-26-15:30,75
2023-06-26-15:45,75
2023-06-26-16:00,78
2023-06-26-16:15,78
2023-06-26-16:30,76
2023-06-26-16:45,76
2023-06-26-17:00,68
2023-06-26-17:15,63
2023-06-26-17:30,61
2023-06-26-17:45,54
2023-06-26-18:00,57
2023-06-26-18:15,53
2023-06-26-18:30,49
2023-06-26-18:45,46
2023-06-26-19:00,42
2023-06-26-19:15,39
2023-06-26-19:30,31
2023-06-26-19:45,29
2023-06-26-20:00,21
2023-06-26-20:15,20
2023-06-26-20:30,17
2023-06-26-20:45,16
2023-06-26-21:00,13
2023-06-26-21:15,12
2023-06-26-21:30,13
2023-06-26-21:45,11
2023-06-26-22:00,11
2023-06-26-22:15,9
2023-06-26-22:30,8
2023-06-26-22:45,7
2023-06-26-23:00,7
2023-06-26-23:15,7
2023-06-26-23:30,8
2023-06-26-23:45,8
2023-06-27-00:00,7
2023-06-27-00:15,7
2023-06-27-00:30,6
2023-06-27-00:45,6
2023-06-27-01:00,6
2023-06-27-01:15,6
2023-06-27-01:30,7
2023-06-27-01:45,7
2023-06-27-02:00,7
2023-06-27-02:15,7
2023-06-27-02:30,9
2023-06-27-02:45,7
2023-06-27-03:00,8
2023-06-27-03:15,8
2023-06-27-03:30,8
2023-06-27-03:45,8
2023-06-27-04:00,9
2023-06-27-04:15,9
2023-06-27-04:30,9
2023-06-27-04:45,9
2023-06-27-05:00,9
2023-06-27-05:15,9
2023-06-27-05:30,10
2023-06-27-05:45,9
2023-06-27-06:00,10
2023-06-27-06:15,10
2023-06-27-06:30,10
2023-06-27-06:45,10
2023-06-27-07:00,12
2023-06-27-07:15,13
2023-06-27-07:30,14
2023-06-27-07:45,17
2023-06-27-08:00,19
2023-06-27-08:15,22
2023-06-27-08:30,24
2023-06-27-08:45,28
2023-06-27-09:00,41
2023-06-27-09:15,47
2023-06-27-09:30,56
2023-06-27-09:45,59
2023-06-27-10:00,59
2023-06-27-10:15,65
2023-06-27-10:30,66
2023-06-27-10:45,67
2023-06-27-11:00,70
2023-06-27-11:15,71
2023-06-27-11:30,73
2023-06-27-11:45,71
2023-06-27-12:00,72
2023-06-27-12:15,72
2023-06-27-12:30,70
2023-06-27-12:45,74
2023-06-27-13:00,68
2023-06-27-13:15,69
2023-06-27-13:30,68
2023-06-27-13:45,65
2023-06-27-14:00,75
2023-06-27-14:15,75
2023-06-27-14:30,75
2023-06-27-14:45,75
2023-06-27-15:00,76
2023-06-27-15:15,64
2023-06-27-15:30,64
2023-06-27-15:45,64
2023-06-27-16:00,64
2023-06-27-16:15,64
2023-06-27-16:30,62
2023-06-27-16:45,63
2023-06-27-17:00,59
2023-06-27-17:15,56
2023-06-27-17:30,54
2023-06-27-17:45,48
2023-06-27-18:00,47
2023-06-27-18:15,43
2023-06-27-18:30,46
2023-06-27-18:45,45
2023-06-27-19:00,36
2023-06-27-19:15,35
2023-06-27-19:30,33
2023-06-27-19:45,25
2023-06-27-20:00,15
2023-06-27-20:15,14
2023-06-27-20:30,13
2023-06-27-20:45,13
2023-06-27-21:00,12
2023-06-27-21:15,11
2023-06-27-21:30,10
2023-06-27-21:45,9
2023-06-27-22:00,10
2023-06-27-22:15,9
2023-06-27-22:30,8
2023-06-27-22:45,8
2023-06-27-23:00,10
2023-06-27-23:15,10
