,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-24-00:00,24,23,30,29,26.5,26.5,29.5,30.0
2023-06-24-00:15,21,23,27,29,25.0,25.0,28.0,29.0
2023-06-24-00:30,21,22,24,29,24.0,23.0,26.5,29.0
2023-06-24-00:45,21,23,23,29,24.0,23.0,26.0,29.0
2023-06-24-01:00,22,24,23,45,28.5,23.5,34.5,45.0
2023-06-24-01:15,21,23,22,45,27.75,22.5,34.0,45.0
2023-06-24-01:30,22,23,23,45,28.25,23.0,34.0,45.0
2023-06-24-01:45,22,23,23,45,28.25,23.0,34.0,45.0
2023-06-24-02:00,21,23,23,36,25.75,23.0,29.5,36.0
2023-06-24-02:15,21,22,22,35,25.0,22.0,28.5,35.0
2023-06-24-02:30,21,22,22,34,24.75,22.0,28.0,34.0
2023-06-24-02:45,21,23,22,35,25.25,22.5,29.0,35.0
2023-06-24-03:00,20,22,24,45,27.75,23.0,34.5,45.0
2023-06-24-03:15,20,23,24,45,28.0,23.5,34.5,45.0
2023-06-24-03:30,20,23,24,45,28.0,23.5,34.5,45.0
2023-06-24-03:45,21,23,24,45,28.25,23.5,34.5,45.0
2023-06-24-04:00,20,24,23,23,22.5,23.0,23.5,24.0
2023-06-24-04:15,21,24,23,23,22.75,23.0,23.5,24.0
2023-06-24-04:30,21,24,23,23,22.75,23.0,23.5,24.0
2023-06-24-04:45,21,24,23,23,22.75,23.0,23.5,24.0
2023-06-24-05:00,21,61,23,62,41.75,42.0,61.5,62.0
2023-06-24-05:15,21,60,23,63,41.75,41.5,61.5,63.0
2023-06-24-05:30,21,60,23,63,41.75,41.5,61.5,63.0
2023-06-24-05:45,21,60,22,63,41.5,41.0,61.5,63.0
2023-06-24-06:00,20,22,22,23,21.75,22.0,22.5,23.0
2023-06-24-06:15,20,22,22,23,21.75,22.0,22.5,23.0
2023-06-24-06:30,22,23,22,22,22.25,22.0,22.5,23.0
2023-06-24-06:45,23,23,23,22,22.75,23.0,23.0,23.0
2023-06-24-07:00,24,23,24,23,23.5,23.5,24.0,24.0
2023-06-24-07:15,27,23,24,23,24.25,23.5,25.5,27.0
2023-06-24-07:30,25,24,23,22,23.5,23.5,24.5,25.0
2023-06-24-07:45,23,26,25,30,26.0,25.5,28.0,30.0
2023-06-24-08:00,29,31,64,45,42.25,38.0,54.5,64.0
2023-06-24-08:15,32,33,61,49,43.75,41.0,55.0,61.0
2023-06-24-08:30,37,50,58,40,46.25,45.0,54.0,58.0
2023-06-24-08:45,46,48,58,51,50.75,49.5,54.5,58.0
2023-06-24-09:00,52,60,90,101,75.75,75.0,95.5,101.0
2023-06-24-09:15,54,70,89,101,78.5,79.5,95.0,101.0
2023-06-24-09:30,67,82,89,96,83.5,85.5,92.5,96.0
2023-06-24-09:45,62,89,84,96,82.75,86.5,92.5,96.0
2023-06-24-10:00,94,95,84,121,98.5,94.5,108.0,121.0
2023-06-24-10:15,81,103,94,121,99.75,98.5,112.0,121.0
2023-06-24-10:30,100,105,112,121,109.5,108.5,116.5,121.0
2023-06-24-10:45,93,115,115,111,108.5,113.0,115.0,115.0
2023-06-24-11:00,109,114,117,110,112.5,112.0,115.5,117.0
2023-06-24-11:15,125,120,115,110,117.5,117.5,122.5,125.0
2023-06-24-11:30,123,115,110,117,116.25,116.0,120.0,123.0
2023-06-24-11:45,127,120,116,123,121.5,121.5,125.0,127.0
2023-06-24-12:00,113,124,122,124,120.75,123.0,124.0,124.0
2023-06-24-12:15,107,124,129,126,121.5,125.0,127.5,129.0
2023-06-24-12:30,89,128,126,126,117.25,126.0,127.0,128.0
2023-06-24-12:45,93,130,129,121,118.25,125.0,129.5,130.0
2023-06-24-13:00,100,125,130,123,119.5,124.0,127.5,130.0
2023-06-24-13:15,102,120,123,121,116.5,120.5,122.0,123.0
2023-06-24-13:30,89,120,126,119,113.5,119.5,123.0,126.0
2023-06-24-13:45,90,120,129,120,114.75,120.0,124.5,129.0
2023-06-24-14:00,94,118,133,118,115.75,118.0,125.5,133.0
2023-06-24-14:15,106,121,126,118,117.75,119.5,123.5,126.0
2023-06-24-14:30,101,107,120,113,110.25,110.0,116.5,120.0
2023-06-24-14:45,78,104,115,109,101.5,106.5,112.0,115.0
2023-06-24-15:00,83,103,112,105,100.75,104.0,108.5,112.0
2023-06-24-15:15,86,101,106,104,99.25,102.5,105.0,106.0
2023-06-24-15:30,81,93,98,95,91.75,94.0,96.5,98.0
2023-06-24-15:45,73,88,85,80,81.5,82.5,86.5,88.0
2023-06-24-16:00,73,87,83,87,82.5,85.0,87.0,87.0
2023-06-24-16:15,75,86,80,89,82.5,83.0,87.5,89.0
2023-06-24-16:30,74,86,83,86,82.25,84.5,86.0,86.0
2023-06-24-16:45,84,87,84,89,86.0,85.5,88.0,89.0
2023-06-24-17:00,80,89,80,80,82.25,80.0,84.5,89.0
2023-06-24-17:15,83,83,78,77,80.25,80.5,83.0,83.0
2023-06-24-17:30,77,83,77,77,78.5,77.0,80.0,83.0
2023-06-24-17:45,67,81,68,77,73.25,72.5,79.0,81.0
2023-06-24-18:00,62,65,73,79,69.75,69.0,76.0,79.0
2023-06-24-18:15,62,65,73,81,70.25,69.0,77.0,81.0
2023-06-24-18:30,66,66,70,77,69.75,68.0,73.5,77.0
2023-06-24-18:45,55,65,66,76,65.5,65.5,71.0,76.0
2023-06-24-19:00,56,59,64,75,63.5,61.5,69.5,75.0
2023-06-24-19:15,53,59,67,72,62.75,63.0,69.5,72.0
2023-06-24-19:30,46,50,66,73,58.75,58.0,69.5,73.0
2023-06-24-19:45,45,49,66,73,58.25,57.5,69.5,73.0
2023-06-24-20:00,48,43,50,50,47.75,49.0,50.0,50.0
2023-06-24-20:15,38,39,40,44,40.25,39.5,42.0,44.0
2023-06-24-20:30,30,38,37,37,35.5,37.0,37.5,38.0
2023-06-24-20:45,29,37,39,36,35.25,36.5,38.0,39.0
2023-06-24-21:00,27,31,43,30,32.75,30.5,37.0,43.0
2023-06-24-21:15,28,34,35,30,31.75,32.0,34.5,35.0
2023-06-24-21:30,25,33,34,31,30.75,32.0,33.5,34.0
2023-06-24-21:45,24,32,35,31,30.5,31.5,33.5,35.0
2023-06-24-22:00,25,33,37,29,31.0,31.0,35.0,37.0
2023-06-24-22:15,24,31,34,29,29.5,30.0,32.5,34.0
2023-06-24-22:30,31,31,31,29,30.5,31.0,31.0,31.0
2023-06-24-22:45,30,31,31,28,30.0,30.5,31.0,31.0
2023-06-24-23:00,30,28,30,28,29.0,29.0,30.0,30.0
2023-06-24-23:15,30,28,29,26,28.25,28.5,29.5,30.0
2023-06-24-23:30,29,28,28,26,27.75,28.0,28.5,29.0
2023-06-24-23:45,30,28,28,26,28.0,28.0,29.0,30.0
2023-06-25-00:00,26,25,23,27,25.25,25.5,26.5,27.0
2023-06-25-00:15,25,26,26,27,26.0,26.0,26.5,27.0
2023-06-25-00:30,24,25,24,26,24.75,24.5,25.5,26.0
2023-06-25-00:45,24,25,23,26,24.5,24.5,25.5,26.0
2023-06-25-01:00,24,24,23,45,29.0,24.0,34.5,45.0
2023-06-25-01:15,24,24,23,45,29.0,24.0,34.5,45.0
2023-06-25-01:30,24,24,24,44,29.0,24.0,34.0,44.0
2023-06-25-01:45,25,24,25,45,29.75,25.0,35.0,45.0
2023-06-25-02:00,24,24,24,36,27.0,24.0,30.0,36.0
2023-06-25-02:15,24,23,24,36,26.75,24.0,30.0,36.0
2023-06-25-02:30,24,23,24,32,25.75,24.0,28.0,32.0
2023-06-25-02:45,24,24,24,32,26.0,24.0,28.0,32.0
2023-06-25-03:00,23,24,25,44,29.0,24.5,34.5,44.0
2023-06-25-03:15,24,23,25,44,29.0,24.5,34.5,44.0
2023-06-25-03:30,24,23,25,45,29.25,24.5,35.0,45.0
2023-06-25-03:45,24,23,25,45,29.25,24.5,35.0,45.0
2023-06-25-04:00,24,23,25,24,24.0,24.0,24.5,25.0
2023-06-25-04:15,24,24,25,24,24.25,24.0,24.5,25.0
2023-06-25-04:30,24,24,25,24,24.25,24.0,24.5,25.0
2023-06-25-04:45,23,24,24,24,23.75,24.0,24.0,24.0
2023-06-25-05:00,23,48,24,46,35.25,35.0,47.0,48.0
2023-06-25-05:15,24,48,24,47,35.75,35.5,47.5,48.0
2023-06-25-05:30,23,58,24,60,41.25,41.0,59.0,60.0
2023-06-25-05:45,24,58,24,60,41.5,41.0,59.0,60.0
2023-06-25-06:00,23,24,24,25,24.0,24.0,24.5,25.0
2023-06-25-06:15,24,24,24,25,24.25,24.0,24.5,25.0
2023-06-25-06:30,23,24,24,25,24.0,24.0,24.5,25.0
2023-06-25-06:45,23,24,24,24,23.75,24.0,24.0,24.0
2023-06-25-07:00,23,23,25,23,23.5,23.0,24.0,25.0
2023-06-25-07:15,24,23,25,22,23.5,23.5,24.5,25.0
2023-06-25-07:30,30,25,24,20,24.75,24.5,27.5,30.0
2023-06-25-07:45,26,24,26,29,26.25,26.0,27.5,29.0
2023-06-25-08:00,23,35,54,42,38.5,38.5,48.0,54.0
2023-06-25-08:15,23,41,51,46,40.25,43.5,48.5,51.0
2023-06-25-08:30,32,58,51,41,45.5,46.0,54.5,58.0
2023-06-25-08:45,38,60,52,41,47.75,46.5,56.0,60.0
2023-06-25-09:00,53,64,82,90,72.25,73.0,86.0,90.0
2023-06-25-09:15,58,74,79,96,76.75,76.5,87.5,96.0
2023-06-25-09:30,69,75,86,96,81.5,80.5,91.0,96.0
2023-06-25-09:45,62,87,86,97,83.0,86.5,92.0,97.0
2023-06-25-10:00,62,106,82,112,90.5,94.0,109.0,112.0
2023-06-25-10:15,71,111,81,112,93.75,96.0,111.5,112.0
2023-06-25-10:30,84,105,107,112,102.0,106.0,109.5,112.0
2023-06-25-10:45,85,115,105,112,104.25,108.5,113.5,115.0
2023-06-25-11:00,87,111,112,127,109.25,111.5,119.5,127.0
2023-06-25-11:15,100,119,116,120,113.75,117.5,119.5,120.0
2023-06-25-11:30,113,117,126,120,119.0,118.5,123.0,126.0
2023-06-25-11:45,129,120,128,122,124.75,125.0,128.5,129.0
2023-06-25-12:00,138,126,130,126,130.0,128.0,134.0,138.0
2023-06-25-12:15,127,125,132,126,127.5,126.5,129.5,132.0
2023-06-25-12:30,117,130,131,125,125.75,127.5,130.5,131.0
2023-06-25-12:45,106,132,131,118,121.75,124.5,131.5,132.0
2023-06-25-13:00,106,128,134,124,123.0,126.0,131.0,134.0
2023-06-25-13:15,100,122,132,132,121.5,127.0,132.0,132.0
2023-06-25-13:30,119,133,133,126,127.75,129.5,133.0,133.0
2023-06-25-13:45,116,126,129,125,124.0,125.5,127.5,129.0
2023-06-25-14:00,114,119,134,126,123.25,122.5,130.0,134.0
2023-06-25-14:15,118,122,127,130,124.25,124.5,128.5,130.0
2023-06-25-14:30,111,108,117,130,116.5,114.0,123.5,130.0
2023-06-25-14:45,76,105,113,130,106.0,109.0,121.5,130.0
2023-06-25-15:00,88,104,108,129,107.25,106.0,118.5,129.0
2023-06-25-15:15,80,101,106,109,99.0,103.5,107.5,109.0
2023-06-25-15:30,80,93,98,95,91.5,94.0,96.5,98.0
2023-06-25-15:45,72,88,85,80,81.25,82.5,86.5,88.0
2023-06-25-16:00,78,88,84,87,84.25,85.5,87.5,88.0
2023-06-25-16:15,79,91,83,90,85.75,86.5,90.5,91.0
2023-06-25-16:30,67,91,85,87,82.5,86.0,89.0,91.0
2023-06-25-16:45,81,85,86,87,84.75,85.5,86.5,87.0
2023-06-25-17:00,80,86,75,81,80.5,80.5,83.5,86.0
2023-06-25-17:15,67,86,73,71,74.25,72.0,79.5,86.0
2023-06-25-17:30,69,74,77,71,72.75,72.5,75.5,77.0
2023-06-25-17:45,63,100,89,76,82.0,82.5,94.5,100.0
2023-06-25-18:00,54,62,86,77,69.75,69.5,81.5,86.0
2023-06-25-18:15,53,61,81,73,67.0,67.0,77.0,81.0
2023-06-25-18:30,59,63,75,68,66.25,65.5,71.5,75.0
2023-06-25-18:45,55,62,76,66,64.75,64.0,71.0,76.0
2023-06-25-19:00,49,53,74,65,60.25,59.0,69.5,74.0
2023-06-25-19:15,46,48,76,62,58.0,55.0,69.0,76.0
2023-06-25-19:30,36,46,79,62,55.75,54.0,70.5,79.0
2023-06-25-19:45,37,39,58,62,49.0,48.5,60.0,62.0
2023-06-25-20:00,32,32,28,34,31.5,32.0,33.0,34.0
2023-06-25-20:15,29,31,25,31,29.0,30.0,31.0,31.0
2023-06-25-20:30,26,28,22,25,25.25,25.5,27.0,28.0
2023-06-25-20:45,32,28,20,22,25.5,25.0,30.0,32.0
2023-06-25-21:00,27,28,26,23,26.0,26.5,27.5,28.0
2023-06-25-21:15,28,28,27,22,26.25,27.5,28.0,28.0
2023-06-25-21:30,25,27,27,24,25.75,26.0,27.0,27.0
2023-06-25-21:45,25,25,28,22,25.0,25.0,26.5,28.0
2023-06-25-22:00,24,24,33,22,25.75,24.0,28.5,33.0
2023-06-25-22:15,25,25,28,22,25.0,25.0,26.5,28.0
2023-06-25-22:30,25,25,28,22,25.0,25.0,26.5,28.0
2023-06-25-22:45,23,25,29,22,24.75,24.0,27.0,29.0
2023-06-25-23:00,24,25,28,22,24.75,24.5,26.5,28.0
2023-06-25-23:15,25,25,28,25,25.75,25.0,26.5,28.0
2023-06-25-23:30,26,26,26,25,25.75,26.0,26.0,26.0
