,high_mean
2023-06-24-00:00,420
2023-06-24-00:15,416
2023-06-24-00:30,413
2023-06-24-00:45,413
2023-06-24-01:00,415
2023-06-24-01:15,415
2023-06-24-01:30,415
2023-06-24-01:45,414
2023-06-24-02:00,409
2023-06-24-02:15,409
2023-06-24-02:30,409
2023-06-24-02:45,409
2023-06-24-03:00,413
2023-06-24-03:15,413
2023-06-24-03:30,413
2023-06-24-03:45,414
2023-06-24-04:00,401
2023-06-24-04:15,401
2023-06-24-04:30,401
2023-06-24-04:45,401
2023-06-24-05:00,403
2023-06-24-05:15,403
2023-06-24-05:30,403
2023-06-24-05:45,403
2023-06-24-06:00,403
2023-06-24-06:15,403
2023-06-24-06:30,410
2023-06-24-06:45,429
2023-06-24-07:00,431
2023-06-24-07:15,432
2023-06-24-07:30,428
2023-06-24-07:45,431
2023-06-24-08:00,439
2023-06-24-08:15,451
2023-06-24-08:30,453
2023-06-24-08:45,478
2023-06-24-09:00,519
2023-06-24-09:15,519
2023-06-24-09:30,506
2023-06-24-09:45,506
2023-06-24-10:00,555
2023-06-24-10:15,555
2023-06-24-10:30,555
2023-06-24-10:45,538
2023-06-24-11:00,538
2023-06-24-11:15,540
2023-06-24-11:30,540
2023-06-24-11:45,539
2023-06-24-12:00,539
2023-06-24-12:15,539
2023-06-24-12:30,542
2023-06-24-12:45,540
2023-06-24-13:00,551
2023-06-24-13:15,554
2023-06-24-13:30,551
2023-06-24-13:45,551
2023-06-24-14:00,551
2023-06-24-14:15,551
2023-06-24-14:30,551
2023-06-24-14:45,551
2023-06-24-15:00,550
2023-06-24-15:15,550
2023-06-24-15:30,550
2023-06-24-15:45,550
2023-06-24-16:00,538
2023-06-24-16:15,534
2023-06-24-16:30,534
2023-06-24-16:45,534
2023-06-24-17:00,504
2023-06-24-17:15,504
2023-06-24-17:30,504
2023-06-24-17:45,505
2023-06-24-18:00,499
2023-06-24-18:15,494
2023-06-24-18:30,503
2023-06-24-18:45,501
2023-06-24-19:00,516
2023-06-24-19:15,516
2023-06-24-19:30,516
2023-06-24-19:45,509
2023-06-24-20:00,507
2023-06-24-20:15,507
2023-06-24-20:30,474
2023-06-24-20:45,486
2023-06-24-21:00,492
2023-06-24-21:15,490
2023-06-24-21:30,490
2023-06-24-21:45,490
2023-06-24-22:00,449
2023-06-24-22:15,449
2023-06-24-22:30,446
2023-06-24-22:45,446
2023-06-24-23:00,431
2023-06-24-23:15,426
2023-06-24-23:30,436
2023-06-24-23:45,434
2023-06-25-00:00,429
2023-06-25-00:15,429
2023-06-25-00:30,415
2023-06-25-00:45,415
2023-06-25-01:00,416
2023-06-25-01:15,416
2023-06-25-01:30,412
2023-06-25-01:45,411
2023-06-25-02:00,407
2023-06-25-02:15,407
2023-06-25-02:30,407
2023-06-25-02:45,407
2023-06-25-03:00,411
2023-06-25-03:15,411
2023-06-25-03:30,411
2023-06-25-03:45,413
2023-06-25-04:00,399
2023-06-25-04:15,399
2023-06-25-04:30,399
2023-06-25-04:45,399
2023-06-25-05:00,402
2023-06-25-05:15,402
2023-06-25-05:30,402
2023-06-25-05:45,402
2023-06-25-06:00,402
2023-06-25-06:15,402
2023-06-25-06:30,423
2023-06-25-06:45,420
2023-06-25-07:00,421
2023-06-25-07:15,421
2023-06-25-07:30,426
2023-06-25-07:45,429
2023-06-25-08:00,445
2023-06-25-08:15,438
2023-06-25-08:30,461
2023-06-25-08:45,465
2023-06-25-09:00,507
2023-06-25-09:15,507
2023-06-25-09:30,491
2023-06-25-09:45,481
2023-06-25-10:00,529
2023-06-25-10:15,522
2023-06-25-10:30,522
2023-06-25-10:45,524
2023-06-25-11:00,516
2023-06-25-11:15,528
2023-06-25-11:30,528
2023-06-25-11:45,528
2023-06-25-12:00,528
2023-06-25-12:15,528
2023-06-25-12:30,530
2023-06-25-12:45,528
2023-06-25-13:00,545
2023-06-25-13:15,548
2023-06-25-13:30,546
2023-06-25-13:45,546
2023-06-25-14:00,546
2023-06-25-14:15,546
2023-06-25-14:30,546
2023-06-25-14:45,546
2023-06-25-15:00,542
2023-06-25-15:15,542
2023-06-25-15:30,542
2023-06-25-15:45,542
2023-06-25-16:00,526
2023-06-25-16:15,522
2023-06-25-16:30,522
2023-06-25-16:45,522
2023-06-25-17:00,492
2023-06-25-17:15,492
2023-06-25-17:30,492
2023-06-25-17:45,492
2023-06-25-18:00,480
2023-06-25-18:15,475
2023-06-25-18:30,475
2023-06-25-18:45,484
2023-06-25-19:00,506
2023-06-25-19:15,506
2023-06-25-19:30,506
2023-06-25-19:45,505
2023-06-25-20:00,505
2023-06-25-20:15,505
2023-06-25-20:30,467
2023-06-25-20:45,467
2023-06-25-21:00,457
2023-06-25-21:15,452
2023-06-25-21:30,452
2023-06-25-21:45,452
2023-06-25-22:00,431
2023-06-25-22:15,431
2023-06-25-22:30,431
2023-06-25-22:45,431
2023-06-25-23:00,420
2023-06-25-23:15,417
2023-06-25-23:30,417
2023-06-25-23:45,417
2023-06-26-00:00,306
2023-06-26-00:15,310
2023-06-26-00:30,306
2023-06-26-00:45,306
2023-06-26-01:00,306
2023-06-26-01:15,308
2023-06-26-01:30,308
