,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-24-00:00,389,451,329,376,386.25,382.5,420.0,451.0
2023-06-24-00:15,381,451,329,376,384.25,378.5,416.0,451.0
2023-06-24-00:30,375,451,325,376,381.75,375.5,413.5,451.0
2023-06-24-00:45,372,451,325,376,381.0,374.0,413.5,451.0
2023-06-24-01:00,372,454,322,376,381.0,374.0,415.0,454.0
2023-06-24-01:15,372,454,322,376,381.0,374.0,415.0,454.0
2023-06-24-01:30,369,454,317,376,379.0,372.5,415.0,454.0
2023-06-24-01:45,369,454,317,375,378.75,372.0,414.5,454.0
2023-06-24-02:00,365,444,308,375,373.0,370.0,409.5,444.0
2023-06-24-02:15,365,444,308,375,373.0,370.0,409.5,444.0
2023-06-24-02:30,365,444,308,375,373.0,370.0,409.5,444.0
2023-06-24-02:45,365,444,308,375,373.0,370.0,409.5,444.0
2023-06-24-03:00,361,447,308,380,374.0,370.5,413.5,447.0
2023-06-24-03:15,361,447,308,380,374.0,370.5,413.5,447.0
2023-06-24-03:30,361,447,308,380,374.0,370.5,413.5,447.0
2023-06-24-03:45,361,449,308,380,374.5,370.5,414.5,449.0
2023-06-24-04:00,359,427,308,375,367.25,367.0,401.0,427.0
2023-06-24-04:15,359,427,308,375,367.25,367.0,401.0,427.0
2023-06-24-04:30,359,427,308,375,367.25,367.0,401.0,427.0
2023-06-24-04:45,359,427,308,375,367.25,367.0,401.0,427.0
2023-06-24-05:00,359,427,311,380,369.25,369.5,403.5,427.0
2023-06-24-05:15,360,427,311,380,369.5,370.0,403.5,427.0
2023-06-24-05:30,360,427,311,380,369.5,370.0,403.5,427.0
2023-06-24-05:45,360,427,311,380,369.5,370.0,403.5,427.0
2023-06-24-06:00,365,426,312,380,370.75,372.5,403.0,426.0
2023-06-24-06:15,365,426,312,380,370.75,372.5,403.0,426.0
2023-06-24-06:30,372,426,325,394,379.25,383.0,410.0,426.0
2023-06-24-06:45,378,456,343,402,394.75,390.0,429.0,456.0
2023-06-24-07:00,384,458,343,404,397.25,394.0,431.0,458.0
2023-06-24-07:15,384,460,343,404,397.75,394.0,432.0,460.0
2023-06-24-07:30,384,452,343,404,395.75,394.0,428.0,452.0
2023-06-24-07:45,380,458,346,404,397.0,392.0,431.0,458.0
2023-06-24-08:00,386,476,403,399,416.0,401.0,439.5,476.0
2023-06-24-08:15,426,476,403,405,427.5,415.5,451.0,476.0
2023-06-24-08:30,431,476,403,374,421.0,417.0,453.5,476.0
2023-06-24-08:45,440,517,415,374,436.5,427.5,478.5,517.0
2023-06-24-09:00,457,535,455,504,487.75,480.5,519.5,535.0
2023-06-24-09:15,457,535,496,504,498.0,500.0,519.5,535.0
2023-06-24-09:30,474,508,496,504,495.5,500.0,506.0,508.0
2023-06-24-09:45,475,508,496,504,495.75,500.0,506.0,508.0
2023-06-24-10:00,526,571,520,540,539.25,533.0,555.5,571.0
2023-06-24-10:15,526,571,520,540,539.25,533.0,555.5,571.0
2023-06-24-10:30,526,571,520,540,539.25,533.0,555.5,571.0
2023-06-24-10:45,529,547,525,507,527.0,527.0,538.0,547.0
2023-06-24-11:00,529,547,524,507,526.75,526.5,538.0,547.0
2023-06-24-11:15,524,547,533,507,527.75,528.5,540.0,547.0
2023-06-24-11:30,524,547,533,507,527.75,528.5,540.0,547.0
2023-06-24-11:45,532,547,526,507,528.0,529.0,539.5,547.0
2023-06-24-12:00,532,547,529,531,534.75,531.5,539.5,547.0
2023-06-24-12:15,532,547,516,531,531.5,531.5,539.5,547.0
2023-06-24-12:30,538,547,523,531,534.75,534.5,542.5,547.0
2023-06-24-12:45,533,547,523,531,533.5,532.0,540.0,547.0
2023-06-24-13:00,537,566,532,535,542.5,536.0,551.5,566.0
2023-06-24-13:15,537,566,542,535,545.0,539.5,554.0,566.0
2023-06-24-13:30,537,566,537,535,543.75,537.0,551.5,566.0
2023-06-24-13:45,537,566,537,535,543.75,537.0,551.5,566.0
2023-06-24-14:00,537,566,537,535,543.75,537.0,551.5,566.0
2023-06-24-14:15,537,566,537,535,543.75,537.0,551.5,566.0
2023-06-24-14:30,537,566,537,535,543.75,537.0,551.5,566.0
2023-06-24-14:45,537,566,537,535,543.75,537.0,551.5,566.0
2023-06-24-15:00,533,566,527,535,540.25,534.0,550.5,566.0
2023-06-24-15:15,533,566,527,535,540.25,534.0,550.5,566.0
2023-06-24-15:30,533,566,527,535,540.25,534.0,550.5,566.0
2023-06-24-15:45,533,566,527,535,540.25,534.0,550.5,566.0
2023-06-24-16:00,533,544,494,502,518.25,517.5,538.5,544.0
2023-06-24-16:15,524,544,494,502,516.0,513.0,534.0,544.0
2023-06-24-16:30,524,544,494,502,516.0,513.0,534.0,544.0
