,high_mean
2023-06-24-00:00,351
2023-06-24-00:15,346
2023-06-24-00:30,323
2023-06-24-00:45,303
2023-06-24-01:00,298
2023-06-24-01:15,270
2023-06-24-01:30,245
2023-06-24-01:45,243
2023-06-24-02:00,227
2023-06-24-02:15,211
2023-06-24-02:30,199
2023-06-24-02:45,195
2023-06-24-03:00,183
2023-06-24-03:15,178
2023-06-24-03:30,170
2023-06-24-03:45,169
2023-06-24-04:00,167
2023-06-24-04:15,156
2023-06-24-04:30,155
2023-06-24-04:45,155
2023-06-24-05:00,150
2023-06-24-05:15,148
2023-06-24-05:30,148
2023-06-24-05:45,145
2023-06-24-06:00,142
2023-06-24-06:15,142
2023-06-24-06:30,142
2023-06-24-06:45,142
2023-06-24-07:00,138
2023-06-24-07:15,141
2023-06-24-07:30,141
2023-06-24-07:45,137
2023-06-24-08:00,133
2023-06-24-08:15,137
2023-06-24-08:30,140
2023-06-24-08:45,141
2023-06-24-09:00,156
2023-06-24-09:15,166
2023-06-24-09:30,175
2023-06-24-09:45,201
2023-06-24-10:00,201
2023-06-24-10:15,209
2023-06-24-10:30,206
2023-06-24-10:45,227
2023-06-24-11:00,268
2023-06-24-11:15,280
2023-06-24-11:30,288
2023-06-24-11:45,296
2023-06-24-12:00,312
2023-06-24-12:15,314
2023-06-24-12:30,314
2023-06-24-12:45,314
2023-06-24-13:00,316
2023-06-24-13:15,316
2023-06-24-13:30,305
2023-06-24-13:45,305
2023-06-24-14:00,307
2023-06-24-14:15,307
2023-06-24-14:30,307
2023-06-24-14:45,307
2023-06-24-15:00,311
2023-06-24-15:15,311
2023-06-24-15:30,309
2023-06-24-15:45,309
2023-06-24-16:00,303
2023-06-24-16:15,303
2023-06-24-16:30,303
2023-06-24-16:45,303
2023-06-24-17:00,295
2023-06-24-17:15,294
2023-06-24-17:30,319
2023-06-24-17:45,344
2023-06-24-18:00,361
2023-06-24-18:15,383
2023-06-24-18:30,390
2023-06-24-18:45,423
2023-06-24-19:00,447
